Date,Price,Open,High,Low
8-Jan-21,55.99,54.56,56.36,54.34
7-Jan-21,54.38,54.13,54.9,53.94
6-Jan-21,54.3,53.52,54.73,53.02
5-Jan-21,53.6,50.95,53.9,50.7
4-Jan-21,51.09,51.5,53.33,50.56
31-Dec-20,51.8,51.49,51.84,50.9
30-Dec-20,51.34,51.32,51.56,51.04
29-Dec-20,51.09,51.02,51.63,50.86
28-Dec-20,50.86,51.25,52.02,50.53
24-Dec-20,51.29,51.11,51.77,50.62
23-Dec-20,51.2,49.7,51.59,49.2
22-Dec-20,50.08,50.65,50.86,49.56
21-Dec-20,50.91,52.22,52.32,49.2
18-Dec-20,52.26,51.43,52.48,51.13
17-Dec-20,51.5,51.12,51.9,51.08
16-Dec-20,51.08,50.64,51.2,50.34
15-Dec-20,50.76,50.3,50.89,49.78
14-Dec-20,50.29,50.05,50.8,49.13
11-Dec-20,49.97,50.45,50.74,49.74
10-Dec-20,50.25,49,51.06,48.86
9-Dec-20,48.86,48.84,49.55,48.4
8-Dec-20,48.84,48.58,49,48.09
7-Dec-20,48.79,49.23,49.43,48.4
4-Dec-20,49.25,48.96,49.92,48.84
3-Dec-20,48.71,48,48.94,47.67
2-Dec-20,48.25,47.05,48.76,46.82
1-Dec-20,47.42,47.79,48.3,46.88
30-Nov-20,47.59,47.91,47.99,46.85
27-Nov-20,48.18,47.81,48.44,47.34
26-Nov-20,47.8,48.76,49.09,47.53
25-Nov-20,48.61,47.8,49.06,47.72
24-Nov-20,47.86,45.9,48.03,45.89
23-Nov-20,46.06,45.08,46.12,44.89
20-Nov-20,44.96,44.15,45.24,44.05
19-Nov-20,44.2,43.96,44.57,43.79
18-Nov-20,44.34,43.75,44.89,43.48
17-Nov-20,43.75,43.89,44.25,43.08
16-Nov-20,43.82,42.71,44.67,42.71
13-Nov-20,42.78,43.2,43.34,42.63
12-Nov-20,43.53,43.73,44.5,43.26
11-Nov-20,43.8,43.77,45.3,43.6
10-Nov-20,43.61,41.75,44.11,41.71
9-Nov-20,42.4,39.65,43.48,39.46
6-Nov-20,39.45,40.63,40.69,39.34
5-Nov-20,40.93,40.96,41.53,40.33
4-Nov-20,41.23,40.13,41.33,39.42
3-Nov-20,39.71,39.26,40.45,38.65
2-Nov-20,38.97,37.37,39.36,35.74
30-Oct-20,37.46,37.5,38.1,36.8
29-Oct-20,37.65,39.16,39.45,36.64
28-Oct-20,39.12,40.61,40.7,38.75
27-Oct-20,41.2,40.5,41.47,40.4
26-Oct-20,40.46,41.53,41.63,40.22
23-Oct-20,41.77,42.4,42.8,41.5
22-Oct-20,42.46,41.59,42.79,41.46
21-Oct-20,41.73,42.91,43.04,41.45
20-Oct-20,43.16,42.45,43.3,42.19
19-Oct-20,42.62,42.69,43.23,42.36
16-Oct-20,42.93,43.1,43.21,42.27
15-Oct-20,43.16,43.45,43.48,41.56
14-Oct-20,43.32,42.43,43.45,42.13
13-Oct-20,42.45,41.81,42.68,41.66
12-Oct-20,41.72,42.6,42.71,41.36
9-Oct-20,42.85,43.36,43.57,42.61
8-Oct-20,43.34,42.15,43.47,41.86
7-Oct-20,41.99,41.85,42.42,41.36
6-Oct-20,42.65,41.41,42.84,41.22
5-Oct-20,41.29,39.19,41.78,39.14
2-Oct-20,39.27,40.65,40.77,38.79
1-Oct-20,40.93,42.17,42.56,39.92
30-Sep-20,40.95,40.66,40.98,40.3
29-Sep-20,41.03,42.47,42.52,40.43
28-Sep-20,42.43,41.87,42.62,41.48
25-Sep-20,41.92,41.85,42.33,41.52
24-Sep-20,41.94,41.36,42.02,41.27
23-Sep-20,41.77,41.67,42.62,41.21
22-Sep-20,41.72,41.79,42.2,41.21
21-Sep-20,41.44,43.01,43.3,40.96
18-Sep-20,43.15,43.22,43.8,42.53
17-Sep-20,43.3,42.32,43.5,41.5
16-Sep-20,42.22,40.72,42.44,40.59
15-Sep-20,40.53,39.7,40.82,39.39
14-Sep-20,39.61,39.78,40.09,39.3
11-Sep-20,39.83,39.96,40.34,39.38
10-Sep-20,40.06,40.58,40.96,39.71
9-Sep-20,40.79,39.65,41.2,39.37
8-Sep-20,39.78,42.08,42.23,39.31
7-Sep-20,42.01,42.2,42.43,41.51
4-Sep-20,42.66,43.76,44.54,42.3
3-Sep-20,44.07,44.65,44.65,43.15
2-Sep-20,44.43,45.83,46.05,44.2
1-Sep-20,45.58,45.6,46.22,45.47
31-Aug-20,45.28,45.8,46.53,45.21
28-Aug-20,45.05,45.1,45.3,44.8
27-Aug-20,45.09,45.7,45.87,44.56
26-Aug-20,45.64,45.97,46.1,45.54
25-Aug-20,45.86,45.12,46.07,45.08
24-Aug-20,45.13,44.5,45.18,44.29
21-Aug-20,44.35,45.03,45.08,43.59
20-Aug-20,44.9,45.14,45.18,44.02
19-Aug-20,45.37,45.17,45.48,44.81
18-Aug-20,45.46,45.27,45.55,44.76
17-Aug-20,45.37,44.86,45.41,44.53
14-Aug-20,44.8,45.29,45.29,44.47
13-Aug-20,44.96,45.32,45.58,44.82
12-Aug-20,45.43,44.62,45.63,44.49
11-Aug-20,44.5,45.05,45.79,44.39
10-Aug-20,44.99,44.66,45.26,44.37
7-Aug-20,44.4,45.15,45.3,44.27
6-Aug-20,45.09,45.32,45.71,44.85
5-Aug-20,45.17,44.28,46.23,44.24
4-Aug-20,44.43,43.84,44.82,43.24
3-Aug-20,44.15,43.53,44.46,42.89
31-Jul-20,43.3,43.29,43.44,43.05
30-Jul-20,42.94,43.73,43.8,41.38
29-Jul-20,43.75,43.31,43.95,43.2
28-Jul-20,43.22,43.55,43.84,43
27-Jul-20,43.41,43.35,43.77,42.39
24-Jul-20,43.34,43.27,43.9,42.79
23-Jul-20,43.31,44.1,44.77,43.13
22-Jul-20,44.29,44.03,44.4,43.62
21-Jul-20,44.32,43.17,44.89,43.16
20-Jul-20,43.28,43.08,43.45,42.36
17-Jul-20,43.14,43.4,43.45,42.64
16-Jul-20,43.37,43.71,43.8,43.14
15-Jul-20,43.79,43.07,43.85,42.7
14-Jul-20,42.9,42.24,43.22,41.8
13-Jul-20,42.72,43.12,43.34,42.14
10-Jul-20,43.24,42.36,43.42,41.32
9-Jul-20,42.35,43.3,43.5,41.94
8-Jul-20,43.29,42.81,43.47,42.75
7-Jul-20,43.08,43.13,43.45,42.46
6-Jul-20,43.1,42.79,43.71,42.74
3-Jul-20,42.8,42.76,42.99,42.32
2-Jul-20,43.14,41.84,43.23,41.73
1-Jul-20,42.03,41.58,42.62,41.03
30-Jun-20,41.15,41.33,41.62,40.9
29-Jun-20,41.71,40.56,41.95,40.04
26-Jun-20,41.02,41.44,41.81,40.29
25-Jun-20,41.05,40.35,41.64,39.47
24-Jun-20,40.31,42.45,42.89,39.63
23-Jun-20,42.63,43.21,43.93,42.21
22-Jun-20,43.08,41.74,43.18,41.58
19-Jun-20,42.19,41.72,42.92,41.03
18-Jun-20,41.51,40.43,41.64,40.06
17-Jun-20,40.71,40.61,41.46,40.03
16-Jun-20,40.96,39.94,41.65,38.95
15-Jun-20,39.72,38.8,39.9,37.24
12-Jun-20,38.73,37.88,39.45,37.01
11-Jun-20,38.55,40.95,41.01,37.82
10-Jun-20,41.73,40.72,41.99,40.14
9-Jun-20,41.18,41.1,41.45,39.85
