Date,Price,Open,High,Low,ChangePct
1/8/2021,55.99,54.56,56.36,54.34,2.96
1/7/2021,54.38,54.13,54.9,53.94,0.15
1/6/2021,54.3,53.52,54.73,53.02,1.31
1/5/2021,53.6,50.95,53.9,50.7,4.91
1/4/2021,51.09,51.5,53.33,50.56,-1.37
12/31/2020,51.8,51.49,51.84,50.9,0.9
12/30/2020,51.34,51.32,51.56,51.04,0.49
12/29/2020,51.09,51.02,51.63,50.86,0.45
12/28/2020,50.86,51.25,52.02,50.53,-0.84
12/24/2020,51.29,51.11,51.77,50.62,0.18
12/23/2020,51.2,49.7,51.59,49.2,2.24
12/22/2020,50.08,50.65,50.86,49.56,-1.63
12/21/2020,50.91,52.22,52.32,49.2,-2.58
12/18/2020,52.26,51.43,52.48,51.13,1.48
12/17/2020,51.5,51.12,51.9,51.08,0.82
12/16/2020,51.08,50.64,51.2,50.34,0.63
12/15/2020,50.76,50.3,50.89,49.78,0.93
12/14/2020,50.29,50.05,50.8,49.13,0.64
12/11/2020,49.97,50.45,50.74,49.74,-0.56
12/10/2020,50.25,49,51.06,48.86,2.84
12/9/2020,48.86,48.84,49.55,48.4,0.04
12/8/2020,48.84,48.58,49,48.09,0.1
12/7/2020,48.79,49.23,49.43,48.4,-0.93
12/4/2020,49.25,48.96,49.92,48.84,1.11
12/3/2020,48.71,48,48.94,47.67,0.95
12/2/2020,48.25,47.05,48.76,46.82,1.75
12/1/2020,47.42,47.79,48.3,46.88,-0.36
11/30/2020,47.59,47.91,47.99,46.85,-1.22
11/27/2020,48.18,47.81,48.44,47.34,0.79
11/26/2020,47.8,48.76,49.09,47.53,-1.67
11/25/2020,48.61,47.8,49.06,47.72,1.57
11/24/2020,47.86,45.9,48.03,45.89,3.91
11/23/2020,46.06,45.08,46.12,44.89,2.45
11/20/2020,44.96,44.15,45.24,44.05,1.72
11/19/2020,44.2,43.96,44.57,43.79,-0.32
11/18/2020,44.34,43.75,44.89,43.48,1.35
11/17/2020,43.75,43.89,44.25,43.08,-0.16
11/16/2020,43.82,42.71,44.67,42.71,2.43
11/13/2020,42.78,43.2,43.34,42.63,-1.72
11/12/2020,43.53,43.73,44.5,43.26,-0.62
11/11/2020,43.8,43.77,45.3,43.6,0.44
11/10/2020,43.61,41.75,44.11,41.71,2.85
11/9/2020,42.4,39.65,43.48,39.46,7.48
11/6/2020,39.45,40.63,40.69,39.34,-3.62
11/5/2020,40.93,40.96,41.53,40.33,-0.73
11/4/2020,41.23,40.13,41.33,39.42,3.83
11/3/2020,39.71,39.26,40.45,38.65,1.9
11/2/2020,38.97,37.37,39.36,35.74,4.03
10/30/2020,37.46,37.5,38.1,36.8,-0.5
10/29/2020,37.65,39.16,39.45,36.64,-3.76
10/28/2020,39.12,40.61,40.7,38.75,-5.05
10/27/2020,41.2,40.5,41.47,40.4,1.83
10/26/2020,40.46,41.53,41.63,40.22,-3.14
10/23/2020,41.77,42.4,42.8,41.5,-1.63
10/22/2020,42.46,41.59,42.79,41.46,1.75
10/21/2020,41.73,42.91,43.04,41.45,-3.31
10/20/2020,43.16,42.45,43.3,42.19,1.27
10/19/2020,42.62,42.69,43.23,42.36,-0.72
10/16/2020,42.93,43.1,43.21,42.27,-0.53
10/15/2020,43.16,43.45,43.48,41.56,-0.37
10/14/2020,43.32,42.43,43.45,42.13,2.05
10/13/2020,42.45,41.81,42.68,41.66,1.75
10/12/2020,41.72,42.6,42.71,41.36,-2.64
10/9/2020,42.85,43.36,43.57,42.61,-1.13
10/8/2020,43.34,42.15,43.47,41.86,3.22
10/7/2020,41.99,41.85,42.42,41.36,-1.55
10/6/2020,42.65,41.41,42.84,41.22,3.29
10/5/2020,41.29,39.19,41.78,39.14,5.14
10/2/2020,39.27,40.65,40.77,38.79,-4.06
10/1/2020,40.93,42.17,42.56,39.92,-0.05
9/30/2020,40.95,40.66,40.98,40.3,-0.19
9/29/2020,41.03,42.47,42.52,40.43,-3.3
9/28/2020,42.43,41.87,42.62,41.48,1.22
9/25/2020,41.92,41.85,42.33,41.52,-0.05
9/24/2020,41.94,41.36,42.02,41.27,0.41
9/23/2020,41.77,41.67,42.62,41.21,0.12
9/22/2020,41.72,41.79,42.2,41.21,0.68
9/21/2020,41.44,43.01,43.3,40.96,-3.96
9/18/2020,43.15,43.22,43.8,42.53,-0.35
