Date,Price,Open,High,Low,ChangePct
2021-01-08,55.99,54.56,56.36,54.34,2.96
2021-01-07,54.38,54.13,54.9,53.94,0.15
2021-01-06,54.3,53.52,54.73,53.02,1.31
2021-01-05,53.6,50.95,53.9,50.7,4.91
2021-01-04,51.09,51.5,53.33,50.56,-1.37
2020-12-31,51.8,51.49,51.84,50.9,0.9
2020-12-30,51.34,51.32,51.56,51.04,0.49
2020-12-29,51.09,51.02,51.63,50.86,0.45
2020-12-28,50.86,51.25,52.02,50.53,-0.84
2020-12-24,51.29,51.11,51.77,50.62,0.18
2020-12-23,51.2,49.7,51.59,49.2,2.24
2020-12-22,50.08,50.65,50.86,49.56,-1.63
2020-12-21,50.91,52.22,52.32,49.2,-2.58
2020-12-18,52.26,51.43,52.48,51.13,1.48
2020-12-17,51.5,51.12,51.9,51.08,0.82
2020-12-16,51.08,50.64,51.2,50.34,0.63
2020-12-15,50.76,50.3,50.89,49.78,0.93
2020-12-14,50.29,50.05,50.8,49.13,0.64
2020-12-11,49.97,50.45,50.74,49.74,-0.56
2020-12-10,50.25,49,51.06,48.86,2.84
2020-12-09,48.86,48.84,49.55,48.4,0.04
2020-12-08,48.84,48.58,49,48.09,0.1
2020-12-07,48.79,49.23,49.43,48.4,-0.93
2020-12-04,49.25,48.96,49.92,48.84,1.11
2020-12-03,48.71,48,48.94,47.67,0.95
2020-12-02,48.25,47.05,48.76,46.82,1.75
2020-12-01,47.42,47.79,48.3,46.88,-0.36
2020-11-30,47.59,47.91,47.99,46.85,-1.22
2020-11-27,48.18,47.81,48.44,47.34,0.79
2020-11-26,47.8,48.76,49.09,47.53,-1.67
2020-11-25,48.61,47.8,49.06,47.72,1.57
2020-11-24,47.86,45.9,48.03,45.89,3.91
2020-11-23,46.06,45.08,46.12,44.89,2.45
2020-11-20,44.96,44.15,45.24,44.05,1.72
2020-11-19,44.2,43.96,44.57,43.79,-0.32
2020-11-18,44.34,43.75,44.89,43.48,1.35
2020-11-17,43.75,43.89,44.25,43.08,-0.16
2020-11-16,43.82,42.71,44.67,42.71,2.43
2020-11-13,42.78,43.2,43.34,42.63,-1.72
2020-11-12,43.53,43.73,44.5,43.26,-0.62
2020-11-11,43.8,43.77,45.3,43.6,0.44
2020-11-10,43.61,41.75,44.11,41.71,2.85
2020-11-09,42.4,39.65,43.48,39.46,7.48
2020-11-06,39.45,40.63,40.69,39.34,-3.62
2020-11-05,40.93,40.96,41.53,40.33,-0.73
2020-11-04,41.23,40.13,41.33,39.42,3.83
2020-11-03,39.71,39.26,40.45,38.65,1.9
2020-11-02,38.97,37.37,39.36,35.74,4.03
2020-10-30,37.46,37.5,38.1,36.8,-0.5
2020-10-29,37.65,39.16,39.45,36.64,-3.76
2020-10-28,39.12,40.61,40.7,38.75,-5.05
2020-10-27,41.2,40.5,41.47,40.4,1.83
2020-10-26,40.46,41.53,41.63,40.22,-3.14
2020-10-23,41.77,42.4,42.8,41.5,-1.63
2020-10-22,42.46,41.59,42.79,41.46,1.75
2020-10-21,41.73,42.91,43.04,41.45,-3.31
2020-10-20,43.16,42.45,43.3,42.19,1.27
2020-10-19,42.62,42.69,43.23,42.36,-0.72
2020-10-16,42.93,43.1,43.21,42.27,-0.53
2020-10-15,43.16,43.45,43.48,41.56,-0.37
2020-10-14,43.32,42.43,43.45,42.13,2.05
2020-10-13,42.45,41.81,42.68,41.66,1.75
2020-10-12,41.72,42.6,42.71,41.36,-2.64
2020-10-09,42.85,43.36,43.57,42.61,-1.13
2020-10-08,43.34,42.15,43.47,41.86,3.22
2020-10-07,41.99,41.85,42.42,41.36,-1.55
