Symbol,Security,GICS Sector,GICS Sub-Industry,Headquaters Location,Date first added,Founded
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,1902
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",########,1888
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",########,2013 (1888)
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",########,1981
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",########,2008
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997,1982
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",########,1969
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1932
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",########,1981
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",########,1955
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1999
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",########,1940
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",########,1998
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",########,1985
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",########,1994
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",########,1992
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",########,1997
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",########,1908
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,1917
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",########,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1998
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957,1985
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",########,1994
AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,2019 (1860)
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",########,1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",########,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957,1906
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",########,1850
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",########,1919
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",########,1995
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",########,1894
