Company Symbol,Security,GICS Sector,GICS Sub-Industry,Shares,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020
MMM,3M Company,Industrials,Industrial Conglomerates,576822000,180,156.59,153.02,133.14,148.6,155.58,155.43,150.41,164.8,158.79,162.94,170.52
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1772362000,86.95,87.06,81.61,76.57,89.85,93.01,91.64,100.68,106.55,108.64,107.48,108.49
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,1765474000,89.55,82.3,88.69,73.42,82.84,90.7,99.14,95.94,92.24,87.14,88.25,104.04
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,45190000,168.81,185.95,155.1,144.48,183.49,226.14,255.22,308.35,307.33,260.45,254.85,268.21
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,661135000,210.15,207.8,189.55,154.68,180.09,203.38,214.59,227.18,240.02,225.18,220.19,252.27
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,772857000,58.65,58.21,60.59,57.5,64.72,72.99,78.03,84.79,83.33,82.68,76.4,79.93
ADBE,Adobe Inc.,Information Technology,Application Software,479719000,334.43,358,360.28,301.21,343.84,389.68,439.81,447.97,527.95,499.51,444.94,479.15
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,1202712000,49.1,48.02,47.46,43.66,49.88,53.63,52.58,77.67,92.18,84.86,74.7,92.63
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,67855000,159.41,132.65,132.99,89.17,116.59,139.79,141.95,152.55,156.39,154.85,151.38,152.61
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,665131000,20.03,20.31,18.22,12.8,12.94,12.55,14.41,15.12,17.91,17.92,20,20.6
AFL,AFLAC Inc,Financials,Life & Health Insurance,702445000,53.35,52.01,45.29,31.9,36.62,36.97,35.39,35.36,36.7,36.39,35.52,44.7
A,Agilent Technologies Inc,Health Care,Health Care Equipment,306850000,85.95,82.15,81.97,68.92,74.21,89.91,88.11,99.09,101.12,101.22,105.24,115.36
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,221049000,231.14,243.01,230.65,189.28,222.25,242.6,243.75,278.41,302.73,294.67,286.69,283.18
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,162794000,87.64,93.68,90.91,91.6,95.86,105.71,106.33,112.98,119.03,109.93,95.81,104.21
ALK,Alaska Air Group Inc,Industrials,Airlines,123664000,68.17,64.65,50.03,26.35,30.11,36.11,35.7,34,39.15,36.91,38.27,50.94
ALB,Albemarle Corp,Materials,Specialty Chemicals,106457000,72.61,80.79,84.3,54.84,57.44,77.42,76.06,83.33,97.39,86.73,96.84,135.88
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,138516000,159.73,164.81,155.58,131.24,150.99,154.1,165.41,176.33,166.54,163.19,154.92,168.11
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,218721000,107.84,100.85,96.16,89.93,103.91,118.92,112.39,104.85,112.68,115.63,114.83,122.15
ALGN,Align Technology,Health Care,Health Care Supplies,78850000,283.68,253.02,230.22,157.2,203.26,250.55,273.84,287.36,305.43,317.61,458.44,500.1
ALLE,Allegion,Industrials,Building Products,92039000,125.39,132.18,120.86,84.59,97.48,100.65,101.89,100.45,102.1,98.5,101.51,115
LNT,Alliant Energy Corp,Utilities,Electric Utilities,249761000,53.63,59.52,55.36,44.97,47.25,49.46,48.76,53.51,53.48,52.33,56.69,53.37
ALL,Allstate Corp,Financials,Property & Casualty Insurance,304068000,112.82,119.05,112.67,86.4,99.74,99.07,95.53,96.19,92.96,92.26,90.9,104.29
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,300644000,1368.68,1482.6,1386.32,1102.1,1317.32,1434.87,1442,1482.76,1655.08,1487.9,1624.32,1795.36
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,329867000,1367.37,1485.94,1389.11,1105.62,1320.61,1431.82,1438.04,1474.45,1660.71,1490.09,1626.03,1798.1
MO,Altria Group Inc,Consumer Staples,Tobacco,1858419000,49.25,46.26,42.07,37.61,37.91,39.18,39.24,41.01,43.12,38.92,36.48,40.49
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,501751000,1898.01,2004.2,1953.95,1907.7,2286.04,2471.04,2878.7,3111.89,3499.12,3221.26,3004.48,3220.08
AMCR,Amcor plc,Materials,Paper Packaging,1568482000,10.63,10.68,9.79,7.86,8.68,10.18,10.33,10.44,11.24,11.01,10.85,11.53
AEE,Ameren Corp,Utilities,Multi-Utilities,247207000,76.05,82.63,84.42,67.73,71.45,74.37,72.49,79.28,78.48,79.86,83.21,78.51
AAL,American Airlines Group,Industrials,Airlines,604999000,29.09,27.16,18.86,10.69,10.64,11.11,12.81,11.08,13.1,12.58,11.19,14.27
AEP,American Electric Power,Utilities,Electric Utilities,496390000,93.46,104.22,95.09,74.57,81.39,86.14,82,85.77,77.82,83.06,91.23,85.21
AXP,American Express Co,Financials,Consumer Finance,805202000,125.85,131,113.87,77.84,88.32,96.75,94.05,93.54,102.47,101.33,93.4,119.93
AIG,American International Group,Financials,Property & Casualty Insurance,861526000,51.76,51.16,42.85,21.61,23.9,30.55,29.58,32.14,29.15,27.72,32.45,39.31
AMT,American Tower Corp.,Real Estate,Specialized REITs,444213000,228.5,234.07,240.75,206.97,234.2,264.31,265.39,256.58,248.03,242.15,233.49,235.83
AWK,American Water Works Company Inc,Utilities,Water Utilities,181272000,120.2,136.52,130.84,112.8,119.2,127.77,130.62,147.06,140.17,148.57,154.3,154.3
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,117978000,169.23,167.46,150.86,94.31,111.26,143.94,145.83,155.69,157.16,155.31,164.45,190.25
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,204250000,85.08,85.7,87.16,86.23,86.38,95.15,99.45,104.48,94.3,95.36,98.94,102.19
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,230065000,100.8,97.72,90.02,69.81,80.49,92.02,87.59,94.95,102.02,99.85,102.27,117.24
AMGN,Amgen Inc.,Health Care,Biotechnology,582169000,240.1,216.88,212.2,197.81,230.98,226.91,255.12,247.36,250.86,255.39,220.21,225.08
APH,Amphenol Corp,Information Technology,Electronic Components,299155000,109.23,99.95,94.93,69.52,85.5,97.73,95.08,107.39,110.79,109.79,115.07,131.61
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,369485000,120.43,110,111.27,84.09,103.64,112.78,120.37,116.57,118.76,118.99,118.48,140.73
ANSS,ANSYS,Information Technology,Application Software,85884000,259.59,281.33,258.81,211.25,255.64,286.7,294.32,315.23,343.89,334.8,311.23,340.85
ANTM,Anthem,Health Care,Managed Health Care,248704000,300.87,266.43,271.27,214.3,269.57,290.03,268.68,270.75,273.08,270.17,278.25,313.9
AON,Aon plc,Financials,Insurance Brokers,228616000,208.79,225.03,221.06,153.68,178.21,196.14,191.14,200.23,202.65,206.18,180.64,210.69
AOS,A.O. Smith Corp,Industrials,Building Products,135430000,47.77,42.28,41,35.61,41.65,47.32,46.3,48.37,49.33,53.59,52.85,55.06
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,377478000,25.36,27.56,25.52,4.02,11.28,11.73,13,15.72,14.94,9.31,8.89,12.37
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",16823260000,75.09,77.17,74.7,60.23,72.27,80.46,91.03,108.94,134.18,116.79,108.77,122.72
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,914344000,62.2,59.72,60.16,43.3,46.89,55.69,59.68,65.01,61.89,60.65,60.33,84.27
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,270025000,96.31,86.72,82.17,45.92,65.75,76.64,75.42,79.72,87.05,93.96,97.88,122.21
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,556389000,46.11,44.96,38.84,33.87,35.12,38.89,39.41,42.93,45.14,46.6,48.56,50.11
ANET,Arista Networks,Information Technology,Communications Equipment,75661000,204.72,225.27,196.59,192.77,207.64,234.64,209.44,260.51,224.1,207.05,216.12,273
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,192322000,95.51,104.26,103.51,77,77.51,94.46,97.35,106.09,105.69,105.61,106.53,116.71
AIZ,Assurant,Financials,Multi-line Insurance,59318000,132.36,132.75,127.89,102.12,102.32,103.06,101.07,107.29,123.15,122.47,129.93,131.36
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,7126000000,38.86,36.96,37.18,28.05,29.9,30.93,29.9,29.62,29.47,28.49,27.34,28.87
ATO,Atmos Energy,Utilities,Gas Utilities,126037000,110.38,118.67,107.89,94.64,100.1,102.95,100.69,105.31,97.43,95.47,95.51,96.64
ADSK,Autodesk Inc.,Information Technology,Application Software,219889000,187.83,199.26,190.83,139.22,174.9,219.29,241.22,239.48,253.51,233.96,240.74,279.11
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,428814000,170.32,173.94,163,129.72,140.42,145.55,149.11,134.46,138.53,137.7,161.46,174.67
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,22759000,1189.74,1050.45,1046.89,776.86,994.45,1138.2,1130.48,1206.9,1222.43,1181.72,1141.15,1164.84
AVB,AvalonBay Communities,Real Estate,Residential REITs,139609000,207.24,216.69,209.67,138.02,158.44,160.42,159.05,149.93,158.2,155.6,145.34,167.45
AVY,Avery Dennison Corp,Materials,Paper Packaging,83418000,129.31,133.98,120.01,95.93,108.07,112.97,114.02,112.81,117.66,124.65,141.7,151.75
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,649140000,25.61,21.51,17.17,9.8,13.7,16.33,15.41,15.63,13.88,12.76,15.71,19.23
BLL,Ball Corp,Materials,Metal & Glass Containers,327112000,63.88,74.15,75.17,64.17,65.61,71.17,70.68,74.18,81.97,82.6,90.2,96.82
BAC,Bank of America Corp,Financials,Diversified Banks,8650790000,35.64,32.97,29.37,19.77,23.08,24.61,23.26,24.99,25.71,24.1,24.08,28.69
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,886136000,50.92,45.21,40.96,32.7,36,37.7,37.59,36.03,37.21,34.17,35.1,39.46
BAX,Baxter International Inc.,Health Care,Health Care Equipment,510818000,85.87,89.69,87.18,78.66,87.84,90.39,87.31,83.16,85.55,79.72,78.67,75.51
BDX,Becton Dickinson,Health Care,Health Care Equipment,290852000,272.54,279.31,245.32,225.4,251.87,244.85,241.53,283.68,240.84,230.85,234.79,238.65
